solver_name,repeat,file,Result,time,wall_time,external_timeout,returncode,command,stdout_head,stderr_head
march,0,data/test/3sat/400/3sat_100.cnf,SATISFIABLE,0.2981334622018039,0.2981334622018039,False,10,solvers/march/march_nh data/test/3sat/400/3sat_100.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_10.cnf,SATISFIABLE,3.345335509162396,3.345335509162396,False,10,solvers/march/march_nh data/test/3sat/400/3sat_10.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_105.cnf,SATISFIABLE,12.206269662827253,12.206269662827253,False,10,solvers/march/march_nh data/test/3sat/400/3sat_105.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_1.cnf,SATISFIABLE,20.920145417097956,20.920145417097956,False,10,solvers/march/march_nh data/test/3sat/400/3sat_1.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_103.cnf,SATISFIABLE,31.814971988555044,31.814971988555044,False,10,solvers/march/march_nh data/test/3sat/400/3sat_103.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_101.cnf,UNSATISFIABLE,33.43216543318704,33.43216543318704,False,20,solvers/march/march_nh data/test/3sat/400/3sat_101.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_106.cnf,UNSATISFIABLE,33.36772267892957,33.36772267892957,False,20,solvers/march/march_nh data/test/3sat/400/3sat_106.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_0.cnf,UNSATISFIABLE,37.75924061005935,37.75924061005935,False,20,solvers/march/march_nh data/test/3sat/400/3sat_0.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_104.cnf,UNSATISFIABLE,41.00638121319935,41.00638121319935,False,20,solvers/march/march_nh data/test/3sat/400/3sat_104.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_11.cnf,SATISFIABLE,11.803675161674619,11.803675161674619,False,10,solvers/march/march_nh data/test/3sat/400/3sat_11.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_107.cnf,UNSATISFIABLE,34.61896690307185,34.61896690307185,False,20,solvers/march/march_nh data/test/3sat/400/3sat_107.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_111.cnf,SATISFIABLE,10.567260804120451,10.567260804120451,False,10,solvers/march/march_nh data/test/3sat/400/3sat_111.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_108.cnf,UNSATISFIABLE,41.85455498704687,41.85455498704687,False,20,solvers/march/march_nh data/test/3sat/400/3sat_108.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_102.cnf,UNKNOWN,60.0,65.00271831685677,True,timeout,solvers/march/march_nh data/test/3sat/400/3sat_102.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_115.cnf,UNSATISFIABLE,17.391268159262836,17.391268159262836,False,20,solvers/march/march_nh data/test/3sat/400/3sat_115.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_109.cnf,UNSATISFIABLE,34.0957368449308,34.0957368449308,False,20,solvers/march/march_nh data/test/3sat/400/3sat_109.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
march,0,data/test/3sat/400/3sat_112.cnf,UNSATISFIABLE,32.289452572818846,32.289452572818846,False,20,solvers/march/march_nh data/test/3sat/400/3sat_112.cnf,"['c the DIMACS p-line indicates a CNF of 400 variables and 1704 clauses.', 'c eqProduct():: equivalence reasoning turned off.', 'c using 3-SAT heuristics (occurence based diff)']",[]
